SAROS DLMM POOLS SUMMARY
========================
Fetched: 2025-09-26T12:12:18.032Z
Total Pools: 132
Unique Tokens: 28

FJug3z58gssSTDhVNkTse5fP8GRZzuidf9SRtfB2RhDe/USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB | TVL: $     9652.56 | Active: ✅
4C1ETR4XK1Ys3JFhMz6At66kRrWLVvUFUSLLQmMwpump/SAROS | TVL: $    42599.07 | Active: ✅
mae8vJGf8Wju8Ron1oDTQVaTGGBpcpWDwoRQJALMMf2/USDC | TVL: $  1139463.12 | Active: ✅
2kkwPP6Y5v4aSteLo2R6uqmx3aQ6Veb1xDcRXHsNbonk/SOL | TVL: $        0.01 | Active: ❌
DR5cCdABB5sZjyVF7i3mestghxGzvHawQk35sP9QFNjf/zBTCug3er3tLyffELcvDNrKkCymbPWysGcWihESYfLg | TVL: $       10.00 | Active: ✅
SAROS/USDC           | TVL: $    76237.16 | Active: ✅
DEBUTr2WcEsjkwKhqbRLqnuFKstX1MrEuvaz5xcoQTgn/C98 | TVL: $     1029.02 | Active: ✅
8ncucXv6U6epZKHPbgaEBcEK399TpHGKCquSt4RnmX4f/SOL | TVL: $        0.13 | Active: ❌
$WIF/USDC            | TVL: $        0.00 | Active: ❌
4C1ETR4XK1Ys3JFhMz6At66kRrWLVvUFUSLLQmMwpump/USDC | TVL: $        0.00 | Active: ❌
B8GKqTDGYc7F6udTHjYeazZ4dFCRkrwK2mBQNS4igqTv/USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB | TVL: $    79134.06 | Active: ✅
JitoSOL/SOL          | TVL: $        0.00 | Active: ❌
5mjbjHRb327yvcWUc5WPywhCbYi32pqUqxPUCtpipBLV/SOL | TVL: $    51541.45 | Active: ✅
H8xQ6poBjB9DTPMDTKWzWPrnxu4bDEhybxiouF8Ppump/SOL | TVL: $       33.20 | Active: ✅
USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA/USDC | TVL: $   442041.43 | Active: ✅
JUP/SOL              | TVL: $        0.02 | Active: ❌
PYTH/USDC            | TVL: $        0.00 | Active: ❌
SOL/USDC             | TVL: $      484.17 | Active: ✅
DR5cCdABB5sZjyVF7i3mestghxGzvHawQk35sP9QFNjf/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij | TVL: $       50.00 | Active: ✅
DR5cCdABB5sZjyVF7i3mestghxGzvHawQk35sP9QFNjf/uniBKsEV37qLRFZD7v3Z9drX6voyiCM8WcaePqeSSLc | TVL: $       50.00 | Active: ✅
DEBUTr2WcEsjkwKhqbRLqnuFKstX1MrEuvaz5xcoQTgn/SOL | TVL: $        0.00 | Active: ❌
memsZQiMFoXYwuZj6fFEaRFNgyLGiLDEDqHz5PwtvRa/USDC | TVL: $ 57940756.67 | Active: ✅
MPLX/USDC            | TVL: $        5.74 | Active: ✅
DEBUTr2WcEsjkwKhqbRLqnuFKstX1MrEuvaz5xcoQTgn/SOL | TVL: $     7836.97 | Active: ✅
Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk/SAROS | TVL: $        0.00 | Active: ❌
DEBUTr2WcEsjkwKhqbRLqnuFKstX1MrEuvaz5xcoQTgn/USDC | TVL: $ 19718893.11 | Active: ✅
EAsWWNGqsHkFMgXh4QFBRmGpmorpTTpWe7jwcNT3sBLV/USDC | TVL: $11561923212.39 | Active: ✅
memsZQiMFoXYwuZj6fFEaRFNgyLGiLDEDqHz5PwtvRa/C98 | TVL: $   645645.88 | Active: ✅
Bonk/SAROS           | TVL: $ 10012583.58 | Active: ✅
4C1ETR4XK1Ys3JFhMz6At66kRrWLVvUFUSLLQmMwpump/SOL | TVL: $        0.39 | Active: ❌
DEBUTr2WcEsjkwKhqbRLqnuFKstX1MrEuvaz5xcoQTgn/SOL | TVL: $        0.00 | Active: ❌
JUP/SOL              | TVL: $        0.21 | Active: ❌
RAY/USDC             | TVL: $        0.00 | Active: ❌
memsZQiMFoXYwuZj6fFEaRFNgyLGiLDEDqHz5PwtvRa/SOL | TVL: $    43811.32 | Active: ✅
SNTR/SAROS           | TVL: $ 18677235.88 | Active: ✅
3iQL8BFS2vE7mww4ehAqQHAsbmRNCrPxizWAT2Zfyr9y/USDC | TVL: $        0.00 | Active: ❌
mae8vJGf8Wju8Ron1oDTQVaTGGBpcpWDwoRQJALMMf2/SAROS | TVL: $ 22235900.03 | Active: ✅
ORCA/USDC            | TVL: $        0.00 | Active: ❌
WLFinEv6ypjkczcS83FZqFpgFZYwQXutRbxGe7oC16g/SOL | TVL: $        0.19 | Active: ❌
C98/USDC             | TVL: $    25438.78 | Active: ✅
5NJfQ6UQ1LJTxtKLrsZQcbiSUWequSD6aZLNJaN7Zviv/SOL | TVL: $      431.72 | Active: ✅
DR5cCdABB5sZjyVF7i3mestghxGzvHawQk35sP9QFNjf/CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn | TVL: $       50.00 | Active: ✅
EGNjqB7LfRxpkbVMSroA6UaKtGPuy6wWPx7bmijmPuCD/SAROS | TVL: $ 11953863.62 | Active: ✅
DR5cCdABB5sZjyVF7i3mestghxGzvHawQk35sP9QFNjf/5XZw2LKTyrfvfiskJ78AMpackRjPcyCif1WhUsPDuVqQ | TVL: $       20.00 | Active: ✅
JTO/USDC             | TVL: $        0.00 | Active: ❌
USDT/USDC            | TVL: $        1.19 | Active: ✅
C98/USDC             | TVL: $   249483.90 | Active: ✅
IO/USDC              | TVL: $        0.00 | Active: ❌
uniBKsEV37qLRFZD7v3Z9drX6voyiCM8WcaePqeSSLc/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij | TVL: $        3.00 | Active: ✅
AVw2QGVkXJPRPRjLAceXVoLqU5DVtJ53mdgMXp14yGit/USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB | TVL: $    29824.75 | Active: ✅
JitoSOL/USDC         | TVL: $        0.00 | Active: ❌
LAYER4xPpTCb3QL8S9u41EAhAX7mhBn8Q6xMTwY2Yzc/USDC | TVL: $        0.00 | Active: ❌
3kRSZBRUYvXGJ8t3mtYEYBXEgEZevADd2Se7M1AYP6WN/USDT | TVL: $        0.00 | Active: ❌
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv/USDC | TVL: $        0.00 | Active: ❌
RENDER/USDC          | TVL: $        0.00 | Active: ❌
uniBKsEV37qLRFZD7v3Z9drX6voyiCM8WcaePqeSSLc/CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn | TVL: $      423.90 | Active: ✅
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB/SOL | TVL: $       49.93 | Active: ✅
JUP/SOL              | TVL: $        0.00 | Active: ❌
G48VjpiiQoj4zesrch6vnNQYcVSNKojmsLAuuLpHDzAE/SOL | TVL: $        0.49 | Active: ❌
